Device,1,2,3,4,5,6,7,8,9,10,11,12
402,0.018628481,-0.023777711,-0.048967072,0.003428475,-0.043763899,-0.050734202,-0.097432627,-0.127209827,-0.031561604,-0.065921624,0.018575265,0.01228003
402,"0.014865781	",0.015609512,-0.006346641,-0.012503247,-0.039440045,-0.067289897,-0.103108982,-0.083904644,-0.031561604,-0.064681885,0.018575265,-0.002299223
402,"0.027627549	",-0.00102514,-0.016088251,-0.04298654,-0.042526288,-0.099379372,-0.116831654,-0.071089306,-0.035460181,-0.049353981,0.054695734,0.020589828
402,"0.053206884	",-0.047501562,-0.0144351,-0.086552832,-0.083366164,-0.10823387,-0.024967141,-0.121973204,-0.06558865,-0.0137853,0.078205818,0.005364679
402,"0.053206884	",-0.093054235,0.001109646,-0.055289364,-0.096064851,-0.094272771,-0.043716488,-0.142222617,-0.03971382,-0.079581764,0.121892334,0.046187907
402,"0.068851727	",-0.096272609,-0.025494897,-0.066393485,-0.081929043,-0.089703385,-0.056366877,-0.115910757,-0.03971468,-0.036048272,0.103010703,0.068522712
402,"0.09796976	",0.040931313,-0.024363824,-0.034339783,-0.081929043,-0.099771879,-0.056366877,-0.132616944,-0.023262036,-0.012910303,0.100446247,0.04920435
402,"0.058931337	",-0.015178123,-0.048659862,-0.046261091,-0.127177689,-0.083024119,-0.020245695,-0.147048849,-0.066479496,-0.012910303,0.064672771,0.058670472
402,"0.015278743	",-0.07412319,-0.072910275,-0.05990993,-0.117066017,-0.061639352,0.00074997,-0.137625267,-0.035527799,0.011579571,0.077401949,0.036245702
402,"0.067273141	",0.013897292,-0.085884853,-0.065811865,-0.062131769,-0.044723411,-0.034332282,-0.137625267,0.000140196,-0.035429702,0.091879758,0.01575855
402,"0.043158619	",-0.012761011,-0.067102968,-0.091397165,-0.026501234,-0.145447213,-0.151672888,-0.132235457,-0.100641175,-0.092960582,0.12802148,0.032930521
402,"0.023654033	",-0.012761011,-0.12092338,-0.104548842,-0.096093611,-0.145447213,-0.1430968,-0.113256565,-0.10821034,-0.045928283,0.062339505,0.003141772
402,"0.038863762	",-0.03675409,-0.158876612,-0.088646835,-0.076515527,-0.134748894,-0.145956312,-0.127325751,-0.132758799,-0.041761254,0.067281349,-0.024409262
402,"0.047015988	",-0.050325594,-0.142673654,-0.069991618,-0.076515527,-0.08527252,-0.145956312,-0.097583917,-0.133606881,-0.024354971,0.067281349,0.010791167
402,"0.076070413	",-0.050325594,-0.143175768,-0.09452756,-0.045396452,-0.091876364,-0.143574857,-0.091563972,-0.102378682,-0.016791918,0.067281349,-0.026120226
402,"0.100992387	",-0.037103373,-0.158680337,-0.072277359,-0.064083638,-0.105588058,-0.149809923,-0.111533824,-0.077263659,0.023918988,0.086499167,-0.016019023
402,"0.100992387	",-0.054904366,-0.150045222,-0.072277359,-0.096802434,-0.104945669,-0.149809923,-0.108510932,-0.077263659,0.010670228,0.086499167,-0.018686739
402,"0.059655641	",-0.054904366,-0.150045222,-0.086149817,-0.124877917,-0.099655031,-0.149809923,-0.108510932,-0.098876263,-0.015326247,0.109968445,-0.018686739
402,NA,-0.052401646,-0.141802881,-0.072463855,-0.146986331,-0.110077903,-0.14812098,-0.098531196,-0.076842152,0.003050959,0.109968445,-0.018686739
402,NA,0.06809952,-0.15046437,-0.082500215,-0.11311116,-0.098781874,-0.14795542,-0.104896251,-0.075458343,0.022400921,0.109968445,-0.018686739
402,NA,0.06809952,-0.124365507,-0.089778182,-0.163480045,-0.121733812,-0.108681824,-0.113530432,-0.10401253,-0.108771449,0.109968445,-0.010271507
402,NA,0.0523146,-0.093245768,-0.125061646,-0.147360008,-0.094097975,-0.131197874,-0.098805254,-0.10401253,-0.086601366,0.067698461,0.064287116
402,NA,0.039634024,-0.086234651,-0.125061646,-0.154254944,-0.122326288,-0.125725127,-0.115715416,-0.13773817,-0.095265278,0.072332725,0.088369995
402,NA,0.040116049,-0.115969907,-0.125061646,-0.134102814,-0.117644763,-0.143286478,NA,-0.111636182,-0.086083719,0.08791825,0.088369995
402,NA,0.080440349,-0.094288139,-0.132372133,-0.144403735,-0.134864518,-0.141941583,NA,-0.127127761,-0.054462185,0.09239397,0.070507779
402,NA,0.049974979,-0.117526004,-0.132372133,-0.163326451,-0.154919198,-0.119778846,NA,-0.099059793,-0.013088725,0.113716089,0.057601694
402,NA,0.051659857,-0.13167273,-0.149693568,-0.159172173,-0.146573227,-0.119778846,NA,-0.085773793,-0.018730451,0.085549748,0.035194615
402,NA,0.042898176,-0.13167273,-0.123095371,-0.159172173,-0.147459982,-0.146279187,NA,-0.078988171,-0.018730451,0.070591241,0.009891394
402,NA,0.039794917,-0.087657739,-0.104233319,-0.159671352,-0.10178107,-0.146279187,NA,-0.077414269,-0.012742393,0.070591241,0.007577773
402,NA,0.023509511,-0.072960419,-0.104233319,-0.159671352,-0.10178107,-0.165819466,NA,-0.077414269,-0.012742393,0.076397996,0.013727914
402,NA,NA,-0.033937263,-0.104233319,-0.165908044,NA,NA,NA,NA,NA,0.113805064,0.013727914
