Device;1;2;3;4;5;6;7;8;9;10;11;12
402;3.57912;0.0385;4.97322;0.44132;1.51092;5.02355;0.51608;0.99487;1.27401;2.78134;2.6383;1.98864
402;2.91807;0.98492;4.5022;0.55458;2.03763;3.59535;0.78272;2.025;1.27401;2.0133;2.6383;1.05923
402;2.46983;0.81532;3.7884;0.27525;1.4813;4.35806;0.08247;2.06412;0.81576;3.16788;2.63635;1.96229
402;1.40727;0.20526;5.04423;0.30806;1.18741;4.31882;0.31584;0.70517;0.34626;2.31636;2.20569;2.83849
402;1.82683;0.43916;4.478;1.01152;0.62967;3.82541;0.97313;0.38529;0.21284;2.54322;1.58167;2.4666
402;1.32864;0.13299;4.47232;0.23459;0.00061;4.19832;0.41937;0.14712;0.05792;2.65964;1.16772;2.64465
402;1.32864;0.29223;3.20554;0.07216;0.00061;3.52665;0.41937;0.33056;0.91081;2.93438;2.50332;2.13822
402;0.97881;0.03888;3.334;0.34949;0.71077;3.8937;0.2926;0.79282;2.50628;2.93438;2.4548;2.66779
402;2.11112;0.76542;3.50489;0.00201;1.14815;4.12728;0.04519;1.31497;1.66599;2.64884;2.06979;3.00302
402;3.04031;0.26636;4.51431;0.14906;0.72565;3.87295;0.48865;1.31497;0.64555;2.72236;1.56846;2.37685
402;2.21428;0.91675;4.65293;0.8809;1.08922;5.86022;1.2864;1.83075;0.01878;2.30333;1.43867;2.69627
402;2.85659;0.35064;3.38942;0.43948;1.71455;5.86022;0.83587;2.05571;0.59126;2.588;0.06257;3.02996
402;2.41981;0.31449;4.15904;0.7711;1.45039;5.34264;1.45981;1.61081;0.202;1.93758;0.14102;2.51525
402;1.87411;0.63548;4.22013;1.09784;1.45039;4.83799;1.45981;0.51982;0.45705;1.49871;0.14102;2.21546
402;0.77099;0.43437;5.04552;1.30121;1.49756;5.09946;1.96753;0.56857;0.36294;1.96887;0.14102;2.53067
402;0.74859;0.22843;6.22135;0.93917;1.51483;5.54442;1.97707;0.37485;0.95614;2.97221;0.34621;1.18735
402;0.74859;1.25875;6.48771;0.93917;1.88437;6.15581;1.97707;1.14581;0.95614;2.46321;0.34621;0.60435
402;2.1965;1.31772;6.48771;0.57648;1.86783;6.05361;1.97707;1.14581;0.7363;2.21555;0.98951;0.60435
402;1.56613;0.55065;6.71171;0.23398;2.06678;5.76636;2.41891;2.43681;1.70721;2.2592;0.98951;0.60435
402;1.83178;0.56857;7.42815;0.66522;1.23903;4.3313;2.12989;2.30934;1.26567;2.06709;0.98951;0.60435
402;3.53862;0.4425;7.88034;0.51798;1.18971;4.43034;0.59294;1.18125;0.24977;0.97995;0.98951;1.07985
402;3.24874;0.82793;3.81367;0.1449;2.61346;4.9577;0.95506;1.91101;0.24977;1.04006;1.42348;2.75832
402;1.71888;0.73234;3.10922;0.1449;2.13682;5.34172;1.62612;0.67173;0.34113;1.66845;1.95343;2.11075
402;1.87491;0.73234;3.59701;0.1449;1.54407;4.76012;2.01152;NA;0.18445;2.20165;1.7635;2.11075
402;2.92955;0.3427;3.66042;0.41088;2.01201;4.48338;1.46646;NA;0.61531;2.62205;1.21029;2.11728
402;3.31959;0.67344;3.85956;0.41088;2.08739;5.18983;1.48548;NA;0.4657;2.67088;1.24243;2.59585
402;3.35958;0.67344;4.24964;0.11934;1.47477;4.72733;1.48548;NA;0.07011;2.89203;0.63936;2.35456
402;3.28684;0.06573;4.24964;0.65503;1.47477;4.35933;1.717;NA;0.47012;2.89203;0.34772;1.57938
402;3.28684;0.32638;4.39868;0.49949;0.9741;4.48412;1.717;NA;0.04899;2.41147;0.34772;1.37172
402;3.36695;0.32638;4.77188;0.49949;0.9741;4.48412;1.36485;NA;0.04899;2.41147;0.46359;1.5023
402;NA;0.08138;4.39253;0.49949;0.44008;NA;NA;NA;NA;NA;0.66108;1.5023
402;NA;3.14669;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.14669;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.42122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.82758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.18389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.32594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.21826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.14167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.72747;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
402;NA;3.09254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
