Device;1;2;3;4;5;6;7;8;9;10;11;12
402;1.19914;0.17551;0.92644;2.85494;4.28288;4.03003;3.66456;2.21556;3.10569;1.56703;1.87354;1.896
402;1.30449;0.92733;2.11981;2.40885;4.40395;3.56647;3.50562;3.42811;3.10569;1.53231;1.87354;2.30422
402;0.94716;0.46156;1.84704;1.55532;4.31753;2.66797;3.12138;3.78693;2.99653;1.10313;0.86217;1.66332
402;0.23094;0.83978;1.89333;0.33546;3.17402;2.42004;5.69359;2.36219;2.15293;0.10721;0.20388;2.08963
402;0.23094;2.11525;2.32859;1.21084;2.81845;2.81095;5.16861;1.7952;2.87742;1.94951;1.01934;0.94658
402;0.20711;2.20537;1.58366;0.89992;3.21426;2.9389;4.8144;2.53193;2.8774;0.73057;0.49065;0.3212
402;1.02242;1.63634;1.61533;1.79743;3.21426;2.65698;4.8144;2.06416;3.33807;0.08271;0.41885;0.86212
402;0.07066;0.06528;0.93504;1.46363;1.94729;3.12592;5.82579;1.66007;2.12798;0.08271;0.58281;0.59706
402;1.29293;1.58518;0.25603;1.08146;2.23042;3.72469;6.41367;1.92393;2.99463;0.60301;0.22639;1.22496
402;0.16291;0.87939;0.10726;0.91621;3.76858;4.19834;5.43137;1.92393;3.99334;0.71325;0.17899;1.7986
402;0.51229;0.13296;0.41863;0.19982;4.76624;1.37807;2.14583;2.07484;1.17146;2.32412;1.19096;1.31778
402;1.05842;0.13296;1.08834;0.16843;2.81765;1.37807;2.38596;2.60625;0.95952;1.00721;0.64814;2.15187
402;0.63255;0.53885;2.15103;0.27683;3.36584;1.67762;2.30589;2.21231;0.27216;0.89054;0.50977;2.9233
402;0.40429;0.91885;1.69735;0.79918;3.36584;3.06296;2.30589;3.04509;0.24842;0.40316;0.50977;1.93768
402;0.40924;0.91885;1.71141;0.11217;4.23717;2.87805;2.37257;3.21364;1.12281;0.1914;0.50977;2.9712
402;1.10705;0.54863;2.14553;0.73518;3.71393;2.49413;2.19799;2.65449;1.82603;0.94851;0.02833;2.68837
402;1.10705;1.04706;1.90375;0.73518;2.7978;2.51211;2.19799;2.73913;1.82603;0.57754;0.02833;2.76307
402;0.05038;1.04706;1.90375;0.34675;2.01169;2.66025;2.19799;2.73913;1.22088;0.15036;0.68547;2.76307
402;NA;0.97698;1.67296;0.72995;1.39265;2.36841;2.24528;3.01856;1.83783;0.3642;0.68547;2.76307
402;NA;2.39705;1.91549;0.44894;2.34116;2.6847;2.24992;2.84034;1.87658;0.906;0.68547;2.76307
402;NA;2.39705;1.18472;0.24515;0.93083;2.04205;3.34958;2.59858;1.07706;2.76682;0.68547;2.52744
402;NA;1.95507;0.31337;0.74278;1.38219;2.81585;2.71913;3.01089;1.07706;2.14606;0.49809;0.4398
402;NA;1.60002;0.11705;0.74278;1.18913;2.02546;2.87237;2.5374;0.13274;2.38865;0.36833;0.23452
402;NA;1.61351;0.94964;0.74278;1.75339;2.15654;2.38065;NA;0.8636;2.13157;0.06806;0.23452
402;NA;2.74259;0.34255;0.94748;1.46497;1.67439;2.41831;NA;0.42983;1.24616;0.19338;0.26562
402;NA;1.88956;0.99321;0.94748;0.93513;1.11285;3.03886;NA;1.21574;0.08771;0.7904;0.62699
402;NA;1.93674;1.38932;1.43248;1.05145;1.34654;3.03886;NA;1.58774;0.24567;0.00175;1.25439
402;NA;1.69141;1.38932;0.68773;1.05145;1.32171;2.29685;NA;1.77774;0.24567;0.41709;1.96288
402;NA;1.60452;0.1569;0.15959;1.03747;2.60072;2.29685;NA;1.82181;0.07801;0.41709;2.02766
402;NA;1.14853;0.25462;0.15959;1.03747;2.60072;1.74972;NA;1.82181;0.07801;0.2545;1.85546
402;NA;NA;1.34727;0.15959;0.86285;NA;NA;NA;NA;NA;0.7929;1.85546
