,Actual,402,403,404,405
2,-0.018837281,0.016150693,-0.011423778,0.010386057,-0.033064487
2,-0.018837281,0.031928753,-0.007231703,0.034390865,-0.00472215
2,-0.018837281,0.020066756,-0.025089397,0.017282636,-0.019371301
2,-0.018837281,-0.002040002,-0.028435435,0.032671713,-0.031567617
2,-0.018837281,-0.005348613,-0.05862143,0.002444794,-0.012157033
2,-0.018837281,0.03628816,-0.018855385,0.020585039,-0.027363948
2,-0.018837281,0.008579453,-0.033832266,-0.014064282,0.000655994
2,-0.018837281,-0.020519849,-0.035575254,0.018348126,-0.024989349
2,-0.018837281,-0.028631052,-0.018585767,0.014750096,-0.05065351
2,-0.018837281,-0.018378636,-0.007770895,0.00561662,-0.030488172
2,-0.018837281,0.013260518,-0.020477625,0.01174189,-0.034195072
2,-0.018837281,-0.026467901,-0.010613528,0.004411031,-0.049897246
2,-0.018837281,-0.000888561,0.00723876,-0.001991026,-0.039066077
2,-0.018837281,-0.007985115,-0.0110446,-0.050869495,-0.03975273
2,-0.018837281,-0.074228572,-0.038003646,-0.05892755,-0.036382778
2,-0.018837281,-0.001827106,-0.076767091,-0.031071612,-0.041908845
2,-0.018837281,-0.026081323,-0.076827815,-0.039413348,-0.059421864
2,-0.018837281,-0.035312335,-0.102960267,-0.083530693,-0.07155868
2,-0.018837281,-0.015058735,-0.103370724,-0.066097134,-0.064533274
2,-0.018837281,-0.060282043,-0.104415794,-0.066116978,-0.048518012
2,-0.018837281,-0.053912783,-0.062544404,-0.084760009,-0.057712694
2,-0.018837281,-0.062607961,-0.063895528,-0.091106385,-0.020681247
2,-0.018837281,-0.041067575,-0.070594822,-0.084291883,-0.060503403
2,-0.018837281,-0.02417098,-0.047723241,-0.060925408,-0.034972801
2,-0.018837281,-0.045198857,-0.037208919,-0.040423552,-0.041709782
2,-0.018837281,-0.078445118,0.012830907,-0.023329063,-0.032193957
2,-0.018837281,-0.067603198,-0.020855141,0.013244017,-0.0496013
2,-0.018837281,-0.060118115,-0.003034278,5.56E-05,-0.002140654
2,-0.018837281,-0.016252308,-0.004519914,-0.018372914,-0.016431443
3,-0.080680847,-0.048967072,-0.045166135,-0.024521796,-0.03949748
3,-0.080680847,-0.006346641,-0.046131239,-0.020252045,-0.043981102
3,-0.080680847,-0.016088251,-0.053027901,-0.034585805,-0.010149877
3,-0.080680847,-0.0144351,-0.04015886,-0.051175187,-0.01926884
3,-0.080680847,0.001109646,-0.03955343,-0.050238848,-0.006937482
3,-0.080680847,-0.025494897,-0.046715211,-0.053250318,-0.056859147
3,-0.080680847,-0.024363824,-0.047191344,-0.05400499,-0.02919352
3,-0.080680847,-0.048659862,-0.068524048,-0.077701608,-0.052145804
